Source	Interaction	Target
omics2|S1	Match	omics1|S1
omics2|S2	Match	omics1|S2
omics2|S3	Match	omics1|S3
omics2|S4	Mismatch	omics1|S44
omics2|S5	Mismatch	omics1|S45
omics2|S6	Mismatch	omics1|S46
omics2|S7	Mismatch	omics1|S47
omics2|S8	Mismatch	omics1|S48
omics2|S9	Match	omics1|S9
omics2|S10	Match	omics1|S10
omics2|S11	Match	omics1|S11
omics2|S12	Match	omics1|S12
omics2|S13	Match	omics1|S13
omics2|S14	Mismatch	omics1|S94
omics2|S15	Mismatch	omics1|S95
omics2|S16	Mismatch	omics1|S96
omics2|S17	Mismatch	omics1|S97
omics2|S18	Mismatch	omics1|S98
omics2|S19	Match	omics1|S19
omics2|S20	Match	omics1|S20
omics2|S21	Match	omics1|S21
omics2|S22	Match	omics1|S22
omics2|S23	Match	omics1|S23
omics2|S24	Match	omics1|S24
omics2|S25	Match	omics1|S25
omics2|S26	Match	omics1|S26
omics2|S27	Match	omics1|S27
omics2|S28	Match	omics1|S28
omics2|S29	Match	omics1|S29
omics2|S30	Match	omics1|S30
omics2|S31	Match	omics1|S31
omics2|S32	Match	omics1|S32
omics2|S33	Match	omics1|S33
omics2|S34	Match	omics1|S34
omics2|S35	Match	omics1|S35
omics2|S36	Match	omics1|S36
omics2|S37	Match	omics1|S37
omics2|S38	Match	omics1|S38
omics2|S39	Match	omics1|S39
omics2|S40	Match	omics1|S40
omics2|S41	Match	omics1|S41
omics2|S42	Match	omics1|S42
omics2|S43	Match	omics1|S43
omics2|S44	Mismatch	omics1|S4
omics2|S45	Mismatch	omics1|S5
omics2|S46	Mismatch	omics1|S6
omics2|S47	Mismatch	omics1|S7
omics2|S48	Mismatch	omics1|S8
omics2|S49	Match	omics1|S49
omics2|S50	Match	omics1|S50
omics2|S51	Match	omics1|S51
omics2|S52	Match	omics1|S52
omics2|S53	Match	omics1|S53
omics2|S54	Match	omics1|S54
omics2|S55	Match	omics1|S55
omics2|S56	Match	omics1|S56
omics2|S57	Match	omics1|S57
omics2|S58	Match	omics1|S58
omics2|S59	Match	omics1|S59
omics2|S60	Match	omics1|S60
omics2|S61	Match	omics1|S61
omics2|S62	Match	omics1|S62
omics2|S63	Match	omics1|S63
omics2|S64	Match	omics1|S64
omics2|S65	Match	omics1|S65
omics2|S66	Match	omics1|S66
omics2|S67	Match	omics1|S67
omics2|S68	Match	omics1|S68
omics2|S69	Match	omics1|S69
omics2|S70	Match	omics1|S70
omics2|S71	Match	omics1|S71
omics2|S72	Match	omics1|S72
omics2|S73	Match	omics1|S73
omics2|S74	Match	omics1|S74
omics2|S75	Match	omics1|S75
omics2|S76	Match	omics1|S76
omics2|S77	Match	omics1|S77
omics2|S78	Match	omics1|S78
omics2|S79	Match	omics1|S79
omics2|S80	Match	omics1|S80
omics2|S81	Match	omics1|S81
omics2|S82	Match	omics1|S82
omics2|S83	Match	omics1|S83
omics2|S84	Match	omics1|S84
omics2|S85	Match	omics1|S85
omics2|S86	Match	omics1|S86
omics2|S87	Match	omics1|S87
